S7646: min=-98.5, max=99.8, avg=-1.9
S2094: min=-99.1, max=99.1, avg=-4.1
S9430: min=-97.0, max=99.7, avg=-10.4
S9208: min=-96.5, max=98.5, avg=-0.1
S2998: min=-99.1, max=95.3, avg=-4.0
S3510: min=-99.6, max=99.7, avg=2.9
S4576: min=-99.6, max=99.8, avg=5.0
S3631: min=-94.9, max=99.7, avg=-4.0
S1332: min=-98.9, max=98.4, avg=15.2
S3723: min=-96.5, max=97.4, avg=4.1
S1954: min=-99.4, max=97.2, avg=0.1
S8952: min=-98.6, max=91.2, avg=-14.6
S6553: min=-95.5, max=99.0, avg=-7.7
S3247: min=-98.8, max=98.1, avg=-3.0
S4697: min=-99.4, max=99.2, avg=-2.4
S3743: min=-99.5, max=98.4, avg=1.3
S4244: min=-99.4, max=97.6, avg=-7.4
S8999: min=-98.7, max=94.5, avg=-2.8
S6002: min=-97.3, max=99.5, avg=6.0
S0432: min=-99.5, max=96.7, avg=-6.9
S5675: min=-99.5, max=98.5, avg=0.6
S4809: min=-98.5, max=98.9, avg=-3.8
S8319: min=-95.4, max=99.7, avg=2.4
S9709: min=-99.8, max=99.3, avg=-6.6
S6008: min=-99.1, max=93.8, avg=0.9
S0552: min=-98.2, max=99.8, avg=-5.2
S0670: min=-98.5, max=97.8, avg=-18.7
S0044: min=-98.7, max=98.3, avg=-4.4
S8040: min=-99.7, max=97.9, avg=0.5
S5910: min=-99.0, max=99.3, avg=-1.0
S7321: min=-97.8, max=98.6, avg=-4.3
S9871: min=-99.1, max=95.2, avg=6.3
S0328: min=-96.7, max=99.0, avg=-0.5
S5525: min=-99.7, max=99.3, avg=3.9
S2302: min=-99.3, max=96.5, avg=-5.3
S4297: min=-99.3, max=95.9, avg=4.5
S9381: min=-98.2, max=99.4, avg=-1.4
S8913: min=-99.8, max=93.8, avg=1.1
S3698: min=-96.3, max=94.3, avg=-10.4
S6125: min=-97.6, max=99.1, avg=5.8
S5429: min=-98.9, max=95.4, avg=-0.3
S0421: min=-97.8, max=99.0, avg=0.1
S8864: min=-99.0, max=96.3, avg=1.3
S6774: min=-90.4, max=99.8, avg=4.7
S9042: min=-98.4, max=99.4, avg=6.7
S2986: min=-99.2, max=96.3, avg=-11.9
S6573: min=-96.4, max=97.1, avg=1.7
S7103: min=-99.6, max=97.6, avg=2.3
S1910: min=-95.9, max=97.6, avg=2.3
S5591: min=-99.3, max=99.5, avg=-3.5
S3776: min=-96.9, max=98.2, avg=0.7
S1110: min=-95.1, max=99.8, avg=0.1
S0199: min=-98.8, max=98.3, avg=6.1
S5888: min=-98.5, max=98.9, avg=-1.0
S2525: min=-98.8, max=97.3, avg=5.7
S6705: min=-99.9, max=99.1, avg=6.1
S4181: min=-99.2, max=99.0, avg=-6.6
S6374: min=-99.3, max=97.0, avg=3.6
S4283: min=-98.0, max=97.3, avg=7.1
S7719: min=-94.8, max=99.0, avg=0.8
S7756: min=-99.4, max=95.7, avg=-4.2
S4519: min=-98.4, max=98.5, avg=4.2
S1066: min=-98.8, max=97.7, avg=-1.9
S3842: min=-96.5, max=96.2, avg=-0.1
S2001: min=-98.8, max=94.7, avg=-15.7
S5548: min=-94.4, max=93.7, avg=-7.9
S9962: min=-93.9, max=94.8, avg=-5.5
S5101: min=-98.2, max=98.6, avg=5.5
S2515: min=-95.0, max=99.1, avg=-2.9
S8651: min=-99.2, max=99.8, avg=1.1
S6332: min=-99.8, max=96.5, avg=-5.2
S8852: min=-99.8, max=99.6, avg=0.1
S1046: min=-97.8, max=99.6, avg=-1.4
S9542: min=-97.2, max=99.2, avg=-3.9
S9137: min=-99.2, max=98.3, avg=-0.0
S1882: min=-94.3, max=99.6, avg=7.7
S3192: min=-99.0, max=99.8, avg=-8.2
S2669: min=-97.8, max=99.0, avg=2.3
S4898: min=-99.9, max=98.8, avg=4.8
S7230: min=-97.3, max=95.7, avg=-5.4
S0190: min=-95.2, max=98.1, avg=-0.8
S7370: min=-98.4, max=96.9, avg=-0.8
S8904: min=-99.8, max=97.6, avg=-7.0
S2846: min=-99.2, max=99.3, avg=7.4
S3347: min=-97.5, max=99.7, avg=5.9
S8323: min=-97.8, max=98.8, avg=5.0
S1599: min=-97.9, max=95.8, avg=-4.4
S2582: min=-96.0, max=98.7, avg=9.7
S9914: min=-99.1, max=99.7, avg=-0.7
S4967: min=-99.7, max=97.8, avg=-4.6
S4194: min=-99.1, max=99.9, avg=3.1
S6288: min=-97.9, max=96.1, avg=-3.8
S3457: min=-99.3, max=95.8, avg=-3.5
S4482: min=-97.6, max=99.8, avg=-2.0
S3316: min=-97.2, max=97.5, avg=-2.0
S5918: min=-98.6, max=95.3, avg=4.8
S0749: min=-97.8, max=99.3, avg=-3.0
S8490: min=-93.8, max=96.3, avg=0.0
S9892: min=-99.5, max=99.7, avg=-13.6
S3845: min=-98.1, max=98.5, avg=0.3
S5649: min=-95.5, max=97.8, avg=0.5
S9084: min=-98.8, max=99.0, avg=11.4
S4899: min=-99.9, max=98.8, avg=-2.0
S1073: min=-99.3, max=98.4, avg=2.7
S7706: min=-92.0, max=97.7, avg=7.9
S9372: min=-98.0, max=98.3, avg=1.6
S8968: min=-99.8, max=98.1, avg=6.0
S1166: min=-99.6, max=98.5, avg=5.8
S3829: min=-97.7, max=98.7, avg=-4.3
S6790: min=-99.4, max=96.5, avg=5.5
S3971: min=-99.5, max=99.2, avg=-4.5
S1000: min=-98.6, max=99.6, avg=-4.7
S9386: min=-99.9, max=99.8, avg=8.7
S8345: min=-99.4, max=95.2, avg=0.8
S9736: min=-95.8, max=97.6, avg=2.6
S6484: min=-99.7, max=99.4, avg=12.3
S1729: min=-96.6, max=99.5, avg=1.0
S2771: min=-99.8, max=99.2, avg=-1.4
S2457: min=-99.0, max=96.0, avg=-14.2
S5653: min=-98.4, max=91.0, avg=-4.8
S9254: min=-99.8, max=97.1, avg=-0.4
S9558: min=-97.9, max=98.5, avg=3.7
S0100: min=-98.5, max=96.6, avg=4.0
S0708: min=-95.5, max=98.3, avg=0.3
S4300: min=-99.8, max=98.7, avg=-6.0
S7263: min=-99.6, max=94.7, avg=-2.4
S6563: min=-99.1, max=97.6, avg=-5.1
S1893: min=-98.8, max=99.8, avg=8.3
S8951: min=-92.5, max=99.3, avg=9.6
S6012: min=-97.9, max=98.3, avg=1.0
S3836: min=-99.8, max=99.8, avg=-0.2
S1451: min=-99.9, max=99.3, avg=-4.2
S7773: min=-99.0, max=98.8, avg=-9.9
S7455: min=-98.0, max=99.5, avg=-2.3
S3680: min=-98.5, max=91.8, avg=4.2
S1195: min=-99.7, max=97.2, avg=-7.2
S3208: min=-99.0, max=97.0, avg=3.2
S7506: min=-99.7, max=98.2, avg=5.5
S4111: min=-97.9, max=99.7, avg=-2.0
S2668: min=-98.8, max=99.9, avg=-4.8
S3125: min=-96.9, max=96.6, avg=-6.0
S2028: min=-90.1, max=99.6, avg=8.5
S5165: min=-97.1, max=96.5, avg=-1.8
S9317: min=-98.4, max=99.1, avg=-1.2
S6199: min=-99.8, max=98.4, avg=-5.0
S2140: min=-97.8, max=99.2, avg=3.5
S0805: min=-97.0, max=97.6, avg=7.5
S9593: min=-95.1, max=94.7, avg=-7.7
S7024: min=-94.7, max=99.2, avg=-1.3
S9051: min=-99.5, max=99.5, avg=-12.3
S6094: min=-99.2, max=99.2, avg=-3.5
S1125: min=-98.8, max=99.6, avg=10.6
S5381: min=-96.1, max=98.7, avg=1.9
S2232: min=-99.2, max=99.4, avg=1.1
S6813: min=-98.1, max=99.4, avg=8.5
S8460: min=-94.2, max=99.2, avg=1.5
S9276: min=-99.1, max=98.3, avg=-6.1
S8674: min=-98.2, max=96.5, avg=-2.4
S2421: min=-99.7, max=95.5, avg=1.9
S1074: min=-99.7, max=99.0, avg=-2.7
S4614: min=-98.3, max=99.9, avg=4.7
S7488: min=-96.9, max=99.1, avg=2.4
S4917: min=-99.7, max=98.9, avg=13.5
S7280: min=-96.7, max=99.5, avg=4.4
S8139: min=-99.8, max=96.5, avg=-8.0
S4421: min=-99.2, max=99.8, avg=4.1
S5878: min=-97.4, max=98.1, avg=0.7
S5796: min=-94.5, max=97.4, avg=-4.7
S0184: min=-99.6, max=99.7, avg=-4.0
S9419: min=-98.3, max=98.4, avg=-6.9
S9664: min=-93.9, max=99.9, avg=7.9
S0980: min=-91.6, max=97.7, avg=11.4
S1684: min=-95.7, max=99.5, avg=-3.9
S0761: min=-98.3, max=98.1, avg=-5.0
S7302: min=-97.8, max=99.5, avg=-0.3
S2193: min=-99.5, max=98.5, avg=-1.9
S3374: min=-98.6, max=97.8, avg=-9.2
S3996: min=-97.1, max=92.5, avg=-6.6
S4526: min=-98.0, max=97.3, avg=-0.2
S6547: min=-99.2, max=99.5, avg=-1.5
S1705: min=-97.9, max=93.8, avg=-10.7
S0851: min=-97.2, max=99.6, avg=-0.5
S9859: min=-98.9, max=99.1, avg=6.4
S4969: min=-98.8, max=97.6, avg=-5.8
S1548: min=-96.5, max=94.7, avg=0.3
S8683: min=-97.3, max=97.1, avg=9.1
S2287: min=-96.7, max=96.6, avg=0.1
S0826: min=-98.1, max=99.9, avg=5.4
S4582: min=-98.6, max=97.8, avg=1.9
S1048: min=-99.4, max=98.8, avg=-9.5
S9980: min=-99.3, max=97.6, avg=1.4
S9215: min=-92.1, max=94.3, avg=-5.2
S6917: min=-98.6, max=96.0, avg=0.7
S7986: min=-98.5, max=98.8, avg=5.7
S6564: min=-99.4, max=99.3, avg=-13.0
S5703: min=-98.4, max=98.0, avg=-5.2
S7298: min=-96.2, max=98.7, avg=3.4
S4784: min=-99.6, max=98.3, avg=-0.4
S3503: min=-92.9, max=94.0, avg=15.9
S7441: min=-99.5, max=97.1, avg=-3.7
S9800: min=-97.8, max=96.8, avg=1.2
S6777: min=-99.4, max=97.1, avg=0.5
S5585: min=-99.6, max=95.0, avg=0.7
S5951: min=-94.6, max=99.5, avg=4.2
S2339: min=-99.9, max=98.8, avg=-6.7
S4765: min=-97.5, max=99.2, avg=-11.3
S2810: min=-98.1, max=99.7, avg=-5.8
S0678: min=-99.8, max=98.2, avg=-7.1
S6833: min=-96.6, max=98.3, avg=4.3
S8732: min=-99.4, max=99.8, avg=0.9
S4415: min=-99.6, max=98.5, avg=-4.0
S7863: min=-97.5, max=98.3, avg=2.5
S9190: min=-98.3, max=99.7, avg=-3.0
S1737: min=-96.2, max=98.5, avg=-5.5
S9524: min=-95.5, max=99.8, avg=0.9
S1804: min=-96.6, max=98.2, avg=-6.2
S2586: min=-97.4, max=97.8, avg=-3.9
S3655: min=-95.9, max=99.2, avg=2.5
S7334: min=-97.8, max=96.3, avg=6.5
S8385: min=-94.9, max=98.2, avg=-8.9
S3622: min=-98.8, max=99.4, avg=-2.2
S8126: min=-93.5, max=95.3, avg=0.4
S5177: min=-96.4, max=96.9, avg=-2.5
S1555: min=-98.9, max=94.2, avg=-3.4
S9740: min=-97.2, max=98.8, avg=-5.4
S8536: min=-99.6, max=95.9, avg=6.2
S5603: min=-98.9, max=96.0, avg=-7.5
S7300: min=-94.8, max=99.3, avg=-5.2
S7490: min=-98.7, max=97.6, avg=3.3
S6325: min=-98.6, max=99.0, avg=-4.4
S6696: min=-98.6, max=99.6, avg=-1.9
S0160: min=-99.1, max=99.5, avg=-6.0
S7020: min=-99.1, max=97.4, avg=-3.8
S3880: min=-97.9, max=98.3, avg=-3.8
S3327: min=-98.3, max=98.5, avg=-11.2
S3223: min=-99.8, max=99.8, avg=-0.7
S4189: min=-99.2, max=98.2, avg=5.2
S6919: min=-97.0, max=97.4, avg=-1.2
S3947: min=-99.7, max=97.6, avg=9.2
S4718: min=-90.0, max=97.4, avg=9.8
S5718: min=-98.1, max=98.2, avg=2.7
S9588: min=-97.8, max=99.4, avg=2.9
S3293: min=-96.1, max=99.4, avg=5.9
S5180: min=-98.4, max=94.7, avg=5.8
S8514: min=-99.8, max=97.8, avg=-3.9
S6902: min=-97.8, max=99.6, avg=-5.3
S7299: min=-99.6, max=93.0, avg=-4.0
S5336: min=-97.0, max=98.6, avg=-5.8
S9696: min=-97.6, max=97.5, avg=-6.6
S1347: min=-99.3, max=98.4, avg=2.8
S1281: min=-99.8, max=99.2, avg=0.7
S0562: min=-99.7, max=90.4, avg=-22.3
S9597: min=-99.9, max=99.5, avg=0.4
S2051: min=-98.1, max=96.9, avg=6.5
S5593: min=-99.4, max=99.9, avg=-4.7
S9713: min=-96.3, max=97.9, avg=-0.8
S7039: min=-97.9, max=95.9, avg=-3.5
S9582: min=-97.5, max=93.9, avg=3.2
S7922: min=-99.4, max=97.2, avg=3.5
S5899: min=-99.2, max=97.4, avg=1.3
S8707: min=-97.2, max=96.6, avg=-0.3
S1853: min=-97.2, max=99.4, avg=-3.9
S2710: min=-97.5, max=97.4, avg=-0.6
S8613: min=-98.6, max=96.8, avg=-4.6
S8495: min=-94.5, max=98.5, avg=0.8
S0572: min=-96.4, max=98.1, avg=1.0
S2940: min=-99.5, max=99.9, avg=-6.7
S0899: min=-99.4, max=99.5, avg=-1.3
S2978: min=-97.3, max=97.8, avg=-0.8
S2499: min=-99.6, max=96.1, avg=-5.5
S7371: min=-99.1, max=98.9, avg=5.5
S0613: min=-97.4, max=99.2, avg=1.3
S8982: min=-99.9, max=99.5, avg=6.2
S8279: min=-99.8, max=97.6, avg=-1.0
S3462: min=-94.5, max=97.6, avg=-1.8
S4928: min=-98.9, max=96.6, avg=7.5
S1252: min=-96.5, max=96.3, avg=-3.4
S3233: min=-90.5, max=99.4, avg=-6.3
S8037: min=-99.7, max=98.3, avg=-1.6
S1652: min=-99.9, max=99.1, avg=-2.2
S7161: min=-96.4, max=99.2, avg=0.5
S6895: min=-91.8, max=98.9, avg=7.7
S6023: min=-99.8, max=95.4, avg=7.6
S2163: min=-99.8, max=97.5, avg=-5.0
S2937: min=-99.4, max=98.5, avg=-0.3
S1881: min=-99.7, max=99.5, avg=-10.4
S5159: min=-99.5, max=97.7, avg=-9.5
S7650: min=-98.7, max=98.3, avg=-4.1
S6515: min=-99.6, max=98.4, avg=-1.4
S8762: min=-98.0, max=98.6, avg=7.9
S4720: min=-98.7, max=94.9, avg=1.0
S0518: min=-99.9, max=97.6, avg=8.2
S7054: min=-97.7, max=99.5, avg=4.6
S5916: min=-98.9, max=94.6, avg=-1.4
S4666: min=-99.8, max=98.4, avg=-0.4
S2521: min=-96.1, max=98.6, avg=3.4
S9021: min=-97.3, max=99.3, avg=3.8
S5683: min=-95.8, max=95.4, avg=5.6
S7915: min=-99.7, max=99.8, avg=-0.4
S3326: min=-98.9, max=97.7, avg=-0.9
S1591: min=-96.8, max=95.3, avg=5.1
S1322: min=-98.2, max=96.6, avg=6.6
S2427: min=-99.5, max=99.4, avg=-2.5
S9224: min=-99.2, max=98.6, avg=3.6
S4089: min=-98.8, max=98.6, avg=-1.6
S8194: min=-97.2, max=96.8, avg=8.2
S9669: min=-98.8, max=96.8, avg=7.8
S7491: min=-99.7, max=99.1, avg=0.3
S4385: min=-99.4, max=99.6, avg=3.8
S1677: min=-99.1, max=98.6, avg=1.4
S4675: min=-99.7, max=96.5, avg=0.8
S7385: min=-97.3, max=94.9, avg=-3.0
S2734: min=-99.4, max=99.4, avg=-0.4
S9016: min=-99.5, max=94.4, avg=-2.4
S0610: min=-95.6, max=99.5, avg=10.4
S0241: min=-98.7, max=88.4, avg=1.2
S2179: min=-96.0, max=97.9, avg=0.0
S2231: min=-99.7, max=99.8, avg=-2.7
S9393: min=-99.6, max=99.4, avg=-1.2
S6132: min=-99.5, max=98.2, avg=1.8
S4319: min=-98.2, max=90.7, avg=-1.3
S8409: min=-99.1, max=98.7, avg=13.6
S2394: min=-98.8, max=96.3, avg=-4.4
S5988: min=-96.4, max=97.9, avg=8.0
S5170: min=-99.2, max=99.8, avg=-3.9
S8993: min=-99.2, max=97.9, avg=5.3
S8321: min=-99.4, max=97.2, avg=-3.7
S4444: min=-99.5, max=97.6, avg=3.7
S8111: min=-99.6, max=92.8, avg=-5.9
S5339: min=-98.0, max=99.9, avg=-0.0
S1981: min=-98.8, max=98.9, avg=-2.2
S5819: min=-99.3, max=99.1, avg=9.0
S4352: min=-98.6, max=99.2, avg=-6.2
S6162: min=-93.4, max=99.8, avg=14.6
S8855: min=-98.4, max=99.8, avg=7.4
S5643: min=-99.7, max=97.4, avg=4.7
S6946: min=-96.4, max=99.1, avg=-0.1
S5843: min=-97.1, max=99.0, avg=0.2
S3765: min=-99.3, max=99.1, avg=-3.6
S4177: min=-99.5, max=98.6, avg=-0.7
S7352: min=-96.9, max=95.8, avg=2.9
S5104: min=-96.6, max=98.9, avg=3.0
S9737: min=-99.0, max=99.0, avg=9.9
S9993: min=-97.9, max=99.4, avg=7.8
S1326: min=-99.0, max=99.0, avg=0.6
S9324: min=-99.7, max=99.4, avg=7.9
S1217: min=-96.7, max=99.4, avg=2.5
